"","type","airTemperature_K","processTemperature_K","rotationalSpeed_rpm","torque_nm","toolWear_min","target"
"1974","L",297.9,307.6,1747,25.3,136,0
"1975","L",298,307.6,1450,48.7,138,0
"1976","L",298,307.7,1422,45.6,140,0
"1977","M",298.1,307.7,1419,47.4,142,0
"1978","M",298.1,307.7,1633,30.7,145,0
"1979","L",298,307.7,1442,43.6,148,0
"1980","H",298,307.6,1420,45.8,150,0
"1981","M",298,307.6,1301,58.5,155,0
"1982","L",298,307.6,1385,45,158,0
"1983","M",298,307.7,1487,41.3,160,0
"1984","M",298,307.6,1459,44.4,163,0
"1985","M",298,307.5,1387,45.5,166,0
"1986","L",298.1,307.7,1537,40.8,169,0
"1987","L",298.1,307.6,1498,42.9,171,0
"1988","M",298.2,307.8,1599,31.2,173,0
"1989","H",298.3,307.9,1420,39.2,176,0
"1990","L",298.2,307.9,1785,23.4,181,0
"1991","L",298.2,307.8,1423,48.1,183,0
"1992","M",298.2,307.8,1583,36.6,185,0
"1993","L",298.2,307.8,1375,46.6,188,0
"1994","M",298.3,308,1463,42.5,190,0
"1995","M",298.2,307.9,1403,45.1,193,0
"1996","L",298.3,308,1451,47.1,196,0
"1997","M",298.4,308,1416,38.2,198,1
"1998","L",298.3,308.1,1672,41.3,0,0
"1999","H",298.3,308,1637,30.8,2,0
"2000","L",298.4,308,1540,37.8,7,0
"2001","L",298.4,308.1,1279,53.1,9,0
"2002","L",298.4,308.2,1604,34.9,11,0
"2003","L",298.5,308.2,1654,27.1,13,0
"2004","M",298.5,308.2,1564,37.5,15,0
"2005","L",298.5,308.2,1451,47.5,18,0
"2006","L",298.5,308.3,1504,38,20,0
"2007","M",298.5,308.3,1381,50.5,22,0
"2008","L",298.6,308.4,1562,34.4,25,0
"2009","L",298.5,308.3,1811,24.7,27,0
"2010","M",298.6,308.3,1717,28.7,29,0
"2011","L",298.6,308.3,1278,60.5,32,0
"2012","L",298.7,308.5,1616,30.2,34,0
"2013","L",298.6,308.4,1397,46.4,36,0
"2014","L",298.6,308.4,1485,42.9,38,0
"2015","L",298.6,308.4,1310,59.7,40,0
"2016","L",298.5,308.2,1301,66.3,42,1
"2017","L",298.5,308.3,1458,44,44,0
"2018","L",298.7,308.5,1483,42.5,46,0
"2019","L",298.7,308.5,1375,46.4,48,0
"2020","M",298.7,308.5,1660,27,50,0
"2021","H",298.7,308.4,1560,33.3,53,0
"2022","L",298.7,308.5,1480,42.2,58,0
"2023","L",298.7,308.4,1373,46.9,60,0
"2024","L",298.7,308.5,1444,54.2,62,0
"2025","M",298.7,308.6,1722,24.7,64,0
"2026","L",298.7,308.5,1469,39.9,67,0
"2027","M",298.7,308.5,1360,52.9,69,0
"2028","L",298.7,308.4,1750,25.8,72,0
"2029","M",298.7,308.3,1349,46.6,74,0
"2030","L",298.7,308.5,1668,35.2,77,0
"2031","L",298.9,308.6,1400,49.5,79,0
"2032","L",298.8,308.6,1331,62.8,81,0
"2033","L",298.8,308.5,1444,42.2,83,0
"2034","H",298.8,308.5,1359,47.6,85,0
"2035","M",298.8,308.5,1425,47.4,90,0
"2036","M",298.9,308.6,1469,34.2,93,0
"2037","L",299,308.7,1892,22.8,96,0
"2038","H",299,308.7,1940,19.9,98,0
"2039","L",299,308.8,1405,55.2,103,0
"2040","M",299,308.9,1449,39.6,105,0
"2041","L",299.1,308.9,1686,29.6,108,0
"2042","L",299.1,308.9,1680,27.2,110,0
"2043","M",299.1,308.9,1397,52.4,112,0
"2044","M",299.2,309,1597,30.3,115,0
"2045","L",299.3,309.1,1470,41.1,118,0
"2046","M",299.3,309.1,1703,31.3,120,0
"2047","L",299.3,309.1,1388,45.5,123,0
"2048","L",299.3,309.2,1775,24.2,125,0
"2049","L",299.3,309.2,1465,41.5,127,0
"2050","M",299.3,309.2,1586,37.9,129,0
"2051","M",299.5,309.3,1675,29.2,132,0
"2052","M",299.4,309.2,1470,44.4,135,0
"2053","L",299.5,309.3,1477,40.4,138,0
"2054","L",299.5,309.3,1382,61,140,0
"2055","M",299.6,309.4,1605,29.8,142,0
"2056","L",299.6,309.4,1643,32.9,145,0
"2057","L",299.5,309.3,1333,54.1,147,0
"2058","L",299.5,309.3,1520,42.3,149,0
"2059","M",299.5,309.3,1902,24,151,0
"2060","H",299.5,309.4,1386,44.4,154,0
"2061","L",299.6,309.5,1803,27.7,159,0
"2062","L",299.7,309.6,1359,50.7,161,0
"2063","M",299.7,309.6,1477,42.7,163,0
"2064","L",299.7,309.6,1321,53.4,166,0
"2065","L",299.6,309.5,1453,41.4,168,0
"2066","L",299.7,309.6,1419,45.1,170,0
"2067","L",299.7,309.6,1512,36.2,172,0
"2068","L",299.7,309.6,1553,36.8,174,0
"2069","M",299.7,309.6,1534,39.1,176,0
"2070","H",299.7,309.6,1553,41,179,0
"2071","L",299.7,309.5,1352,49.7,184,0
"2072","M",299.7,309.6,1313,60,186,0
"2073","L",299.6,309.5,1570,35.5,189,0
"2074","L",299.6,309.4,1677,31.1,191,0
"2075","L",299.5,309.4,1602,31.5,193,0
"2076","L",299.5,309.4,1390,58.8,195,1
"2077","L",299.4,309.3,1544,36,197,0
"2078","L",299.4,309.4,1701,31.2,199,0
"2079","M",299.4,309.3,1692,28.4,201,0
"2080","M",299.3,309.3,1523,37.9,204,0
"2081","L",299.3,309.2,2280,15.4,207,0
"2082","M",299.4,309.3,1485,47.1,209,0
"2083","H",299.4,309.2,1513,36.1,212,0
"2084","H",299.4,309.3,1743,28.2,0,0
"2085","L",299.5,309.3,1442,46.2,5,0
"2086","L",299.5,309.3,1462,46.7,7,0
"2087","H",299.4,309.3,1439,49.7,9,0
"2088","L",299.5,309.3,1577,36.6,14,0
"2089","L",299.6,309.4,1331,46.4,16,0
"2090","L",299.5,309.3,1941,22.5,18,0
"2091","L",299.5,309.2,1393,47.3,20,0
"2092","L",299.4,309.2,1433,42.1,22,0
"2093","L",299.4,309.2,1444,48.2,24,0
"2094","L",299.4,309.2,1564,39,26,0
"2095","L",299.4,309.3,1377,43.6,28,0
"2096","L",299.4,309.3,1525,41.5,30,0
"2097","M",299.5,309.4,1387,56.2,32,0
"2098","M",299.4,309.4,1326,47.5,35,0
"2099","L",299.4,309.3,1401,59,38,0
"2100","L",299.4,309.3,1596,31.8,40,0
"2101","M",299.3,309.3,1471,46,42,0
"2102","L",299.3,309.3,1528,37.8,45,0
"2103","L",299.3,309.3,1325,62,47,0
"2104","M",299.3,309.1,1376,46.7,49,0
"2105","M",299.3,309.1,1600,35.3,52,0
"2106","L",299.3,309.1,1495,44,55,0
"2107","L",299.4,309.1,1645,28.6,57,0
"2108","M",299.4,309.1,1417,47.3,59,0
"2109","H",299.4,309,1415,51.7,62,0
"2110","M",299.3,309,1496,43.4,67,0
"2111","H",299.3,309,1508,35,70,0
"2112","L",299.4,309,1436,47.9,75,0
"2113","L",299.5,309.1,1852,22.6,77,0
"2114","L",299.5,309.1,1863,22.5,79,0
"2115","H",299.4,309.1,1373,44.1,81,0
"2116","L",299.4,309,1404,47.3,86,0
"2117","M",299.4,309,1381,44.9,88,0
"2118","H",299.4,308.9,1762,29.3,91,0
"2119","H",299.3,308.9,1429,43,96,0
"2120","M",299.3,308.9,1858,24.7,101,0
"2121","H",299.2,308.8,1908,21.3,104,0
"2122","M",299.2,308.8,1503,37.4,109,0
"2123","M",299.2,308.8,1523,38.9,112,0
"2124","L",299.3,309,1491,38.4,115,0
"2125","L",299.2,308.9,1430,39.1,117,0
"2126","L",299.3,308.9,1258,69.4,119,1
"2127","L",299.3,309,1449,46.5,121,0
"2128","H",299.3,309,1425,40.6,123,0
"2129","L",299.4,309,1800,24.3,128,0
"2130","H",299.4,309,1607,33.7,130,0
"2131","L",299.4,309,1391,58.2,135,0
"2132","L",299.4,309.1,1432,45.4,137,0
"2133","L",299.4,309,1660,28.4,139,0
"2134","H",299.3,309,1732,29.7,141,0
"2135","L",299.3,309,1473,46.3,146,0
"2136","L",299.3,309,1511,47.8,148,0
"2137","L",299.2,308.9,1588,41.5,150,0
"2138","L",299.3,308.9,1623,31.1,152,0
"2139","L",299.3,309,1734,30.6,154,0
"2140","L",299.3,309,1415,47.6,156,0
"2141","L",299.3,309,1419,46.6,158,0
"2142","M",299.3,308.9,1577,34.9,160,0
"2143","L",299.3,308.9,1376,60.3,163,0
"2144","M",299.3,308.8,1442,49,165,0
"2145","L",299.4,308.9,1451,40.5,168,0
"2146","L",299.3,308.8,1550,45.8,170,0
"2147","L",299.3,308.8,1647,32.9,172,0
"2148","L",299.4,308.9,1550,33.7,174,0
"2149","L",299.4,308.9,1583,34.1,176,0
"2150","L",299.4,309,1613,32.2,178,0
"2151","H",299.3,308.8,1636,35.5,180,0
"2152","M",299.3,308.7,1289,51.5,185,0
"2153","M",299.3,308.8,1648,28.4,188,0
"2154","H",299.3,308.8,1397,45.4,191,0
"2155","M",299.3,308.9,1767,24.8,196,0
"2156","L",299.3,308.8,1341,47.7,199,0
"2157","M",299.4,308.9,1457,41.5,201,0
"2158","M",299.4,309,1939,19.8,204,0
"2159","M",299.5,309,1399,49.7,207,0
"2160","M",299.5,309,1602,31.3,210,0
"2161","L",299.4,309,1507,41,213,0
"2162","L",299.4,309.1,1464,40.5,215,0
"2163","L",299.5,309.1,1336,42.1,217,0
"2164","L",299.6,309.2,1422,39.8,219,0
"2165","L",299.6,309.2,1540,36.7,221,0
"2166","L",299.5,309.1,1476,47.8,223,0
"2167","M",299.6,309.2,1867,23.4,225,1
"2168","H",299.6,309.1,1588,41.3,0,0
"2169","M",299.5,309.1,1420,49.5,5,0
"2170","L",299.5,309.1,1415,49.2,8,0
"2171","M",299.4,309.1,1500,43.3,10,0
"2172","L",299.5,309.1,1502,44.6,13,0
"2173","L",299.5,309.2,1816,23,15,0
"2174","M",299.5,309.2,1495,41.6,17,0
"2175","L",299.6,309.2,1572,33.4,20,0
"2176","M",299.5,309.2,1590,35.9,22,0
"2177","M",299.6,309.3,1387,48.3,25,0
"2178","M",299.6,309.2,1393,47.7,28,0
"2179","L",299.6,309.2,1602,37.3,31,0
"2180","L",299.6,309.2,1601,33.3,33,0
"2181","H",299.6,309.2,1597,36.3,35,0
"2182","H",299.5,309.1,1548,44.3,40,0
"2183","M",299.5,309.2,1314,61.8,45,0
"2184","M",299.6,309.3,1577,39.8,48,0
"2185","L",299.8,309.4,1475,43.4,51,0
"2186","L",299.8,309.4,1630,32.4,53,0
"2187","L",299.7,309.4,1445,42.9,55,0
"2188","M",299.8,309.4,1439,47.4,57,0
"2189","L",299.7,309.3,1420,44.1,60,0
"2190","H",299.7,309.2,1554,41.6,62,0
"2191","M",299.6,309.1,1471,44.3,67,0
"2192","L",299.6,309,1648,33.6,70,0
"2193","L",299.6,309,1472,48.8,72,0
"2194","M",299.5,308.9,1448,42.9,74,0
"2195","M",299.6,308.9,1568,35.3,77,0
"2196","L",299.6,308.9,1613,30.8,80,0
"2197","M",299.7,308.9,1551,35.4,82,0
"2198","L",299.7,309,1412,49.2,85,0
"2199","M",299.7,308.9,1478,41,87,0
"2200","M",299.8,309.1,1268,58,90,0
"2201","L",299.8,309.1,1546,35.6,93,0
"2202","L",299.8,309,1567,36.1,95,0
"2203","M",299.9,309.2,1548,35.7,97,0
"2204","L",299.8,309,1614,30.8,100,0
"2205","M",299.7,309.1,1352,46.1,102,0
"2206","L",299.9,309.2,1624,34.6,105,0
"2207","L",299.9,309.2,1436,52,107,0
"2208","L",299.8,309.2,1591,37.5,109,0
"2209","H",299.8,309.2,1435,42.6,111,0
"2210","L",299.8,309.3,1386,49.4,116,0
"2211","L",299.7,309.2,1401,54.1,118,0
"2212","M",299.6,309,1245,64,120,0
"2213","L",299.7,309.1,1475,40,123,0
"2214","L",299.7,309.1,1473,39.4,125,0
"2215","H",299.7,309.2,1355,44.8,127,0
"2216","H",299.7,309.2,1468,49.6,132,0
"2217","L",299.7,309.2,1645,30.8,137,0
"2218","L",299.7,309.1,1347,55.3,139,0
"2219","L",299.7,309.1,1713,33.5,141,0
"2220","M",299.6,309.1,1435,48.4,143,0
"2221","M",299.6,309,1736,26.1,146,0
"2222","L",299.6,309,1372,60.4,149,0
"2223","L",299.7,309,1605,33,151,0
"2224","L",299.6,309,1413,48.5,153,0
"2225","M",299.7,309,1645,31.9,155,0
"2226","M",299.7,309,1465,49,158,0
"2227","M",299.6,308.9,1685,27.8,161,0
"2228","L",299.5,308.8,1965,20.4,164,0
"2229","H",299.4,308.6,1542,41.8,166,0
"2230","L",299.4,308.7,1681,30.8,171,0
"2231","L",299.5,308.7,1446,45.7,173,0
"2232","L",299.4,308.6,1415,56.4,175,0
"2233","L",299.5,308.6,1672,30.5,177,0
"2234","L",299.5,308.7,2549,13,179,1
"2235","L",299.4,308.6,1492,40.5,181,0
"2236","M",299.4,308.6,1455,42.7,183,0
"2237","M",299.3,308.5,1422,43.1,186,0
"2238","L",299.3,308.6,1403,50.6,189,0
"2239","L",299.3,308.6,1474,49.6,191,0
"2240","L",299.2,308.6,1381,50,193,0
"2241","L",299.2,308.5,1457,44.7,195,0
"2242","L",299.2,308.4,1711,28.9,197,0
"2243","L",299.2,308.4,1667,29,199,0
"2244","L",299.2,308.4,1465,35,201,0
"2245","M",299.3,308.4,1542,37.5,203,1
"2246","M",299.3,308.4,1438,42.3,0,0
"2247","L",299.3,308.4,1406,47.4,3,0
"2248","M",299.2,308.4,1396,48.5,5,0
"2249","M",299.3,308.5,1304,60.6,8,0
"2250","L",299.2,308.5,1442,46.5,11,0
"2251","M",299.2,308.4,1396,48.7,13,0
"2252","H",299.1,308.3,1424,43.4,16,0
"2253","H",299.1,308.3,1451,42.8,21,0
"2254","L",299.2,308.4,1386,54.1,26,0
"2255","L",299.1,308.3,1325,46.9,28,0
"2256","L",299.1,308.3,1559,33.7,30,0
"2257","L",299.1,308.3,1489,38.1,32,0
"2258","L",299.1,308.3,1892,25.2,34,0
"2259","L",299.1,308.2,1319,60.3,36,0
"2260","L",299.1,308.3,1431,52.3,38,0
"2261","H",299.1,308.3,1521,36.5,40,0
"2262","M",299.1,308.2,1435,45.2,45,0
"2263","L",299.1,308.3,1533,42.4,48,0
"2264","M",299.2,308.4,1529,43,50,0
"2265","M",299.2,308.4,1415,43.5,53,0
"2266","M",299.2,308.4,1330,51.2,56,0
"2267","L",299.2,308.5,1381,60.6,59,0
"2268","L",299.2,308.5,1370,52.4,61,0
"2269","L",299.2,308.5,1438,46.6,63,0
"2270","L",299.3,308.6,1314,48.2,65,0
"2271","L",299.3,308.6,1437,48.1,67,0
"2272","L",299.2,308.5,1821,26.1,69,0
"2273","M",299.3,308.6,1448,52.1,71,0
"2274","L",299.3,308.5,1589,32.7,74,0
"2275","L",299.3,308.6,1520,33.7,76,0
"2276","L",299.3,308.6,1605,37,78,0
"2277","L",299.3,308.7,1393,54.2,80,0
"2278","H",299.3,308.7,1408,44.4,82,0
"2279","M",299.3,308.7,1459,35.6,87,0
"2280","L",299.4,308.7,1525,39,90,0
"2281","L",299.4,308.8,1390,57,92,0
"2282","L",299.3,308.7,1536,38.9,94,0
"2283","L",299.4,308.7,1459,47.6,96,0
"2284","L",299.2,308.5,1387,51.1,98,0
"2285","L",299.2,308.5,1378,53.4,100,0
"2286","L",299.4,308.7,1381,56.7,102,0
"2287","M",299.4,308.7,1289,60.5,104,0
"2288","L",299.4,308.6,1746,26.8,107,0
"2289","M",299.4,308.6,1541,39.1,109,0
"2290","L",299.4,308.7,1504,37.8,112,0
"2291","M",299.5,308.7,1321,51.9,114,0
"2292","M",299.5,308.8,1886,20.9,117,0
"2293","L",299.6,308.9,1422,53.2,120,0
"2294","L",299.5,308.9,1520,38.3,122,0
"2295","L",299.4,308.8,1627,32.6,124,0
"2296","L",299.4,308.7,1512,37.2,126,0
"2297","L",299.4,308.7,1553,42.7,128,0
"2298","L",299.3,308.7,1802,26,130,0
"2299","L",299.3,308.6,1482,37.6,132,0
"2300","L",299.4,308.7,1446,62.9,134,1
"2301","L",299.3,308.6,1371,50.5,136,0
"2302","M",299.2,308.6,1586,35.7,138,0
"2303","L",299.2,308.5,1515,39.8,141,0
"2304","L",299.2,308.5,1374,53.6,143,0
"2305","L",299.1,308.5,1455,39.8,145,0
"2306","H",299.2,308.5,1342,47.5,147,0
"2307","L",299.1,308.6,1260,57.8,152,0
"2308","H",299,308.5,1623,33.5,154,0
"2309","L",299.1,308.5,1371,55.5,159,0
"2310","L",299.1,308.6,1611,31.4,161,0
"2311","M",299,308.4,1535,47.5,163,0
"2312","M",299.1,308.6,1491,38.5,166,0
"2313","M",299.1,308.6,1441,36.2,169,0
"2314","M",299.1,308.8,1725,26.6,172,0
"2315","L",299.2,308.9,1368,47.2,175,0
"2316","L",299.2,308.9,1526,37.9,177,0
"2317","L",299.2,308.8,1542,39.2,179,0
"2318","L",299.2,308.8,1605,31.1,181,0
"2319","L",299.2,308.8,1405,51.4,183,0
"2320","M",299.2,308.8,1700,33.5,185,0
"2321","H",299.2,308.8,1440,39.1,188,0
"2322","M",299.2,308.8,1314,52.5,193,0
"2323","L",299.2,308.7,1514,41.9,196,0
"2324","M",299.2,308.7,1401,47,198,0
"2325","L",299.3,308.8,1636,29.9,201,0
"2326","L",299.3,308.8,1603,33.9,203,0
"2327","M",299.4,308.7,1487,52.6,205,0
"2328","M",299.3,308.7,1420,50.3,208,0
"2329","L",299.3,308.7,1579,36.3,211,0
"2330","L",299.3,308.7,1484,40.5,213,0
"2331","M",299.3,308.7,1390,49.3,215,0
"2332","L",299.3,308.6,1384,53.6,218,1
"2333","L",299.2,308.5,1378,50.4,220,1
"2334","L",299.2,308.5,1445,45.2,222,0
"2335","L",299.2,308.4,1445,43.5,224,0
"2336","L",299.2,308.4,1509,39.4,0,0
"2337","L",299.2,308.4,1434,46.8,2,0
"2338","L",299.2,308.4,1877,23.9,4,0
"2339","L",299.3,308.3,1651,28,6,0
"2340","L",299.2,308.2,1466,41.3,8,0
"2341","L",299.1,308.1,1479,40.7,10,0
"2342","L",299.1,308.2,1409,46.4,12,0
"2343","M",299.2,308.2,1674,28.2,14,0
"2344","L",299.1,308.3,1305,61.4,17,0
"2345","M",299.2,308.3,1755,26.4,19,0
"2346","L",299.2,308.4,1475,38.7,22,0
"2347","L",299.2,308.4,1402,47.7,24,0
"2348","L",299.2,308.3,1410,43,26,0
"2349","L",299.2,308.4,1436,41.8,28,0
"2350","M",299.3,308.5,1386,42.2,30,0
"2351","L",299.3,308.6,1744,26.4,33,0
"2352","L",299.2,308.4,1393,48.4,35,0
"2353","M",299.3,308.5,1422,45.4,37,0
"2354","L",299.2,308.4,1841,22.8,40,0
"2355","L",299.3,308.6,1433,37.7,42,0
"2356","M",299.3,308.5,1305,60.6,44,0
"2357","H",299.3,308.6,1498,39.5,47,0
"2358","L",299.3,308.5,1772,26.1,52,0
"2359","M",299.2,308.4,1381,42.5,54,0
"2360","L",299.3,308.5,1413,38.5,57,0
"2361","H",299.2,308.4,1388,53.2,59,0
"2362","M",299.2,308.6,1631,35.4,64,0
"2363","H",299.3,308.6,1520,41.4,67,0
"2364","L",299.3,308.5,1510,45.4,72,0
"2365","L",299.2,308.5,1366,49.7,74,0
"2366","L",299.4,308.5,1845,22.9,76,0
"2367","L",299.3,308.5,1485,44.7,78,0
"2368","M",299.3,308.5,1496,39.4,80,0
"2369","M",299.3,308.4,1468,42.2,83,0
"2370","M",299.2,308.4,1856,22.7,86,0
"2371","L",299.2,308.4,1620,34.1,89,0
"2372","L",299.3,308.5,1409,44.8,91,0
"2373","M",299.3,308.5,1404,49.4,93,0
"2374","L",299.2,308.4,1350,51.3,96,0
"2375","M",299.2,308.4,1538,38,98,0
"2376","M",299.2,308.4,1476,32.7,101,0
"2377","M",299.2,308.3,1364,51.8,104,0
"2378","M",299.2,308.3,1582,45.5,107,0
"2379","L",299.1,308.2,1348,56.1,110,0
"2380","H",299.1,308.2,1450,46.1,112,0
"2381","L",299,308.1,1242,60.9,117,0
"2382","L",299.1,308.2,1493,34.9,119,0
"2383","L",299.1,308.3,1601,31.4,121,0
"2384","L",299.1,308.2,1568,33.3,123,0
"2385","M",299.1,308.3,1506,38,125,0
"2386","L",299.1,308.3,1524,34.1,128,0
"2387","L",299.1,308.4,1543,37.9,130,0
"2388","M",299.2,308.5,1474,47.2,132,0
"2389","M",299.2,308.5,1526,37.3,135,0
"2390","L",299.2,308.5,1867,27,138,0
"2391","L",299.2,308.5,1487,41.2,140,0
"2392","L",299.2,308.4,1580,32.6,142,0
"2393","L",299.2,308.5,1340,50,144,0
"2394","L",299.2,308.5,1544,41.6,146,0
"2395","L",299.2,308.5,1488,40.3,148,0
"2396","M",299.2,308.5,1742,28.9,150,0
"2397","M",299.1,308.5,1592,34.2,153,0
"2398","L",299.2,308.6,1582,38.8,156,0
"2399","L",299.2,308.5,1490,43.2,158,0
"2400","M",299.2,308.5,1594,35.8,160,0
"2401","H",299.2,308.6,1462,55,163,0
"2402","M",299.2,308.6,1367,47.6,168,0
"2403","L",299.2,308.7,1325,51,171,0
"2404","H",299.2,308.7,1448,51.4,173,0
"2405","M",299.1,308.7,2008,20.3,178,0
"2406","L",299.1,308.7,1498,38.9,181,0
"2407","L",299.1,308.6,1437,41.6,183,0
"2408","M",299.1,308.6,1499,45.1,185,0
"2409","L",299,308.4,1356,52.6,188,0
"2410","L",299.1,308.5,1539,46.8,190,0
"2411","L",299.1,308.5,1689,32.1,192,0
"2412","L",299,308.5,1559,38.1,194,0
"2413","L",299.1,308.6,1408,46.7,196,0
"2414","L",299,308.5,1886,23,198,0
"2415","L",299.1,308.5,1415,43.4,0,0
"2416","M",299.1,308.5,1587,35.6,2,0
"2417","L",299,308.4,1571,38.6,5,0
"2418","L",298.9,308.3,1576,36.6,7,0
"2419","L",298.9,308.3,1660,34.4,9,0
"2420","M",298.9,308.2,1328,49.2,11,0
"2421","H",298.8,308.2,1450,44.7,14,0
"2422","L",298.9,308.2,2384,15,19,0
"2423","L",298.8,308.2,1443,53.4,21,0
"2424","M",298.9,308.2,2022,20,23,0
"2425","L",298.9,308.2,1828,23.8,26,0
"2426","L",298.8,308.1,1472,53.5,28,0
"2427","M",298.9,308.2,1372,63.6,30,1
"2428","L",298.9,308.3,1855,23.8,33,0
"2429","M",299,308.3,1377,47.2,35,0
"2430","L",298.9,308.3,1432,48.9,38,0
"2431","M",298.9,308.2,1335,47.8,40,0
"2432","M",298.9,308.2,1411,51.3,43,0
"2433","L",298.9,308.2,1510,43.5,46,0
"2434","L",299,308.3,1441,44,48,0
"2435","M",299,308.2,1358,42.7,50,0
"2436","L",298.9,308.2,1686,30.4,53,0
"2437","H",299,308.2,1662,30.4,55,0
"2438","L",299.1,308.3,1426,40.1,60,0
"2439","M",299.1,308.4,1330,53.6,62,0
"2440","L",299.1,308.4,1693,31.6,65,0
"2441","L",299.1,308.4,1426,47.9,67,0
"2442","L",299.1,308.5,1676,31,69,0
"2443","M",299.1,308.4,1332,51.7,71,0
"2444","L",299.1,308.5,1647,35,74,0
"2445","L",299.2,308.6,1267,68.2,76,1
"2446","H",299.2,308.7,1375,55.1,78,0
"2447","L",299.3,308.6,1422,48.9,83,0
"2448","L",299.3,308.7,1408,48.7,85,0
"2449","L",299.4,308.9,1440,42.5,87,0
"2450","L",299.3,308.8,1772,25.2,89,0
"2451","L",299.2,308.7,1492,37.8,91,0
"2452","L",299.2,308.7,1650,30.5,93,0
"2453","M",299.1,308.6,2329,14.6,95,0
"2454","L",299,308.6,1648,30.8,98,0
"2455","L",299,308.6,1653,31.7,100,0
"2456","L",299,308.6,1946,22.3,102,0
"2457","L",299.1,308.6,1555,36.6,104,0
"2458","L",299,308.6,1661,32.2,106,0
"2459","L",299,308.6,1434,45.9,108,0
"2460","L",299,308.6,1297,54.2,110,0
"2461","L",299,308.6,1466,46.4,112,0
"2462","M",298.9,308.6,1517,39.8,114,0
"2463","L",298.9,308.5,1742,34.5,117,0
"2464","L",298.9,308.5,1580,39.1,119,0
"2465","M",298.9,308.5,1534,42.9,121,0
"2466","L",298.9,308.6,1481,40.7,124,0
"2467","L",299,308.6,1429,37.7,126,0
"2468","M",298.9,308.6,1574,33.5,128,0
"2469","M",298.9,308.6,1524,40.4,131,0
"2470","L",299,308.7,1507,37.5,134,0
"2471","L",298.9,308.5,1467,44.7,136,0
"2472","L",298.9,308.4,1301,51.1,138,0
"2473","L",298.9,308.5,1429,55.1,140,0
"2474","M",298.9,308.5,1555,37.6,142,0
"2475","L",298.9,308.5,1503,40.6,145,0
"2476","L",298.9,308.5,1459,43.1,147,0
"2477","H",298.9,308.4,1449,42.4,149,0
"2478","L",298.9,308.5,1387,57.3,154,0
"2479","M",298.9,308.5,1456,50,156,0
"2480","L",299,308.5,1604,34.7,159,0
"2481","L",299,308.6,1734,32.4,161,0
"2482","L",299,308.6,1378,47.8,163,0
"2483","L",298.9,308.7,1504,41.8,165,0
"2484","M",298.9,308.7,1402,49.8,167,0
"2485","H",298.8,308.6,1524,37.7,170,0
"2486","L",298.8,308.6,1593,35.5,175,0
"2487","M",298.9,308.7,1772,28.4,177,0
"2488","H",298.9,308.6,1623,31,180,0
"2489","L",298.9,308.7,1356,50.7,185,0
"2490","H",298.9,308.7,1500,41.6,187,0
"2491","H",299.1,308.8,1566,46.6,192,0
"2492","L",299.1,308.9,1445,43.4,197,0
"2493","H",299,308.8,1382,58.5,199,0
"2494","M",299,308.8,1418,45.7,204,0
"2495","L",299.1,308.8,1329,53.6,207,1
"2496","M",299.1,308.8,1491,41,209,0
"2497","M",299.2,308.9,1573,37.4,212,0
"2498","M",299.2,308.9,1521,42.3,215,0
"2499","L",299.1,308.9,1467,47.2,218,0
"2500","M",299.1,308.9,1325,48.4,220,0
"2501","L",299.1,308.9,1617,32.3,223,0
"2502","M",299.1,308.9,1476,42.7,225,0
"2503","L",299.2,309,1515,48.9,228,1
"2504","L",299.2,309,1408,47.2,0,0
"2505","L",299.2,309.1,1468,45.6,2,0
"2506","L",299.2,309.1,1387,48.7,4,0
"2507","M",299.2,309.1,1503,34.7,6,0
"2508","H",299.2,309.1,1410,47.1,9,0
"2509","L",299,308.9,1615,30.6,14,0
"2510","L",299,308.9,1511,35.9,16,0
"2511","L",299.1,309,1405,53.8,18,0
"2512","M",299,308.9,1526,41.1,20,0
"2513","L",298.9,308.8,1530,38.3,23,0
"2514","L",299,308.7,1583,32.5,25,0
"2515","L",298.9,308.6,2069,18.7,27,0
"2516","L",298.8,308.5,1490,35,29,0
"2517","L",298.8,308.5,1736,29,31,0
"2518","L",298.8,308.5,1395,44.4,33,0
"2519","M",298.9,308.6,1425,49.6,35,0
"2520","L",298.8,308.6,1631,32.4,38,0
"2521","L",298.8,308.6,1535,41.2,40,0
"2522","L",298.8,308.6,1584,34.4,42,0
"2523","M",298.8,308.7,1543,38.2,44,0
"2524","L",298.8,308.7,1635,35.2,47,0
"2525","M",298.8,308.7,1446,45.5,49,0
"2526","M",298.8,308.6,1598,35.1,52,0
"2527","L",298.8,308.6,1501,35,55,0
"2528","L",298.8,308.5,1450,50.8,57,0
"2529","L",298.8,308.6,1730,25.9,59,0
"2530","M",298.8,308.6,1571,33.7,61,0
"2531","L",298.9,308.7,1438,51.7,64,0
"2532","M",298.8,308.5,1510,38.7,66,0
"2533","L",298.9,308.7,1389,44.9,69,0
"2534","L",298.8,308.7,1490,33.6,71,0
"2535","L",298.9,308.7,1729,26.6,73,0
"2536","L",299,308.8,1495,38.4,75,0
"2537","L",298.9,308.8,1281,53.9,77,0
"2538","H",298.9,308.7,1353,48.1,79,0
"2539","L",299.1,308.8,1429,50.1,84,0
"2540","L",299.1,308.8,1413,42.1,86,0
"2541","L",299.1,308.8,1502,38.3,88,0
"2542","H",299.1,308.8,1553,32.6,90,0
